ID,LAT,LNG
76,292395.0835,9237796.121
77,292391.2056,9237797.019
78,292387.3048,9237797.952
79,292383.3217,9237798.93
80,292379.1969,9237799.965
81,292374.8713,9237801.068
82,292370.2944,9237802.248
83,292365.4513,9237803.508
84,292360.3359,9237804.848
85,292354.9421,9237806.269
86,292349.264,9237807.772
87,292343.2955,9237809.359
88,292337.0306,9237811.03
89,292330.4632,9237812.786
90,292323.598,9237814.626
91,292316.4822,9237816.536
92,292309.174,9237818.502
93,292301.7313,9237820.509
94,292294.2122,9237822.541
95,292286.6746,9237824.584
96,292279.1767,9237826.623
97,292271.7763,9237828.642
98,292264.5213,9237830.629
99,292257.4175,9237832.579
100,292250.4607,9237834.49
101,292243.6466,9237836.36
102,292236.9708,9237838.187
103,292230.429,9237839.969
104,292224.017,9237841.703
105,292217.7303,9237843.387
106,292211.5695,9237845.019
107,292205.5546,9237846.593
108,292199.7105,9237848.101
109,292194.0621,9237849.539
110,292188.6341,9237850.898
111,292183.4514,9237852.174
112,292178.539,9237853.359
113,292173.9216,9237854.446
114,292169.611,9237855.433
115,292165.5662,9237856.33
116,292161.7333,9237857.148
117,292158.0582,9237857.902
118,292154.4869,9237858.604
119,292150.9653,9237859.267
120,292147.4393,9237859.904
121,292143.855,9237860.529
122,292140.1597,9237861.152
123,292136.3066,9237861.781
124,292132.2504,9237862.424
125,292127.9455,9237863.086
126,292123.3467,9237863.774
127,292118.4085,9237864.494
128,292113.0855,9237865.253
129,292107.3324,9237866.058
130,292101.1201,9237866.907
131,292094.4852,9237867.769
132,292087.4807,9237868.605
133,292080.1595,9237869.376
134,292072.5746,9237870.043
135,292064.7789,9237870.568
136,292056.8254,9237870.911
137,292040.6825,9237869.778
138,292043.9497,9237831.025
139,292031.653,9237833.85
140,291993.9016,9237851.379
141,291951.116,9237852.978
142,291832.2955,9237861.774
143,291829.7103,9237864.137
144,291653.0665,9237911.605
145,291635.4446,9237855.728
146,291492.4368,9237886.883
147,291487.9776,9237869.149
148,291454.1728,9237870.205
149,291464.1568,9237922.961
150,291474.1461,9237957.064
151,291480.5536,9237977.5
152,291478.3336,9238020.476
153,291481.6635,9238042.38
154,291479.154,9238081.648
155,291475.5467,9238114.919
156,291469.7196,9238153.182
157,291465.275,9238207.158
158,291464.7199,9238254.57
159,291456.394,9238325.486
160,291452.5092,9238368.462
161,291448.1679,9238400.668
162,291468.8124,9238395.867
163,291466.315,9238386.163
164,291501.2779,9238375.349
165,291512.6547,9238368.14
166,291535.9632,9238357.327
167,291565.0989,9238350.95
168,291636.0698,9238325.323
169,291680.1896,9238316.451
170,291740.4732,9238304.328
171,291761.5462,9238300.09
172,291825.7328,9238287.334
173,291870.13,9238263.766
174,291913.6949,9238245.189
175,291973.4885,9238229.244
176,291990.8446,9238224.616
177,292003.1791,9238264.457
178,292011.8641,9238314.268
179,292012.6965,9238362.235
180,292013.1965,9238391.047
181,292013.8054,9238432.245
182,292014.1863,9238458.021
183,292064.903,9238460.119
184,292104.2039,9238461.744
185,292144.543,9238459.275
186,292144.5115,9238458.163
187,292144.4774,9238457.01
188,292144.4416,9238455.853
189,292144.4042,9238454.692
190,292144.3651,9238453.527
191,292144.3243,9238452.358
192,292144.2819,9238451.186
193,292144.2378,9238450.01
194,292144.192,9238448.832
195,292144.1445,9238447.65
196,292144.0953,9238446.466
197,292144.0444,9238445.278
198,292143.9918,9238444.089
199,292143.9375,9238442.897
200,292143.8815,9238441.703
201,292143.8238,9238440.507
202,292143.7644,9238439.309
203,292143.7033,9238438.11
204,292143.6404,9238436.908
205,292143.5759,9238435.705
206,292143.5097,9238434.501
207,292143.4418,9238433.294
208,292143.3723,9238432.086
209,292143.3011,9238430.876
210,292143.2282,9238429.665
211,292143.1538,9238428.451
212,292143.0779,9238427.234
213,292143.0005,9238426.013
214,292142.9217,9238424.788
215,292142.8417,9238423.558
216,292142.7603,9238422.322
217,292142.6778,9238421.079
218,292142.5941,9238419.83
